payment_id,customer_id,staff_id,rental_id,amount,payment_date
16066,274,1,208,4.99,2022-04-15 06:28:07.452161-06
16069,274,2,474,2.99,2022-04-27 12:46:10.151444-06
16074,277,2,308,6.99,2022-04-04 04:51:07.496345-06
16091,288,2,93,3.99,2022-04-26 04:18:58.440363-06
16092,288,2,427,6.99,2022-04-05 07:22:55.687336-06
16097,291,2,747,4.99,2022-04-05 17:50:05.282763-06
16105,296,2,162,4.99,2022-04-21 16:14:50.79075-06
16106,296,1,511,5.99,2022-04-18 00:28:00.951682-06
16110,297,1,954,3.99,2022-04-22 21:59:08.79475-06
16111,298,1,383,3.99,2022-04-11 04:42:36.51958-06
16115,300,1,780,3.99,2022-04-15 02:51:41.751406-06
16118,301,2,227,5.99,2022-04-17 03:00:39.810165-06
16123,303,1,871,2.99,2022-04-23 11:40:51.221424-06
16127,304,2,937,2.99,2022-04-06 10:38:25.44628-06
16136,309,2,218,6.99,2022-04-28 02:56:20.407695-06
16139,311,2,274,5.99,2022-04-28 02:36:38.13836-06
16141,311,1,952,2.99,2022-04-29 05:07:54.736744-06
16148,313,2,669,4.99,2022-04-25 12:41:26.136466-06
16155,315,1,551,4.99,2022-04-21 05:31:54.034245-06
16156,316,1,16,4.99,2022-04-30 02:18:47.668622-06
16162,319,1,149,3.99,2022-04-16 01:39:53.437078-06
16169,323,1,58,4.99,2022-04-13 12:27:27.261586-06
16171,323,1,878,5.99,2022-04-18 23:12:12.102748-06
16175,326,2,981,4.99,2022-04-02 19:40:30.519157-06
16183,332,2,600,3.99,2022-04-23 05:32:32.576142-06
16185,333,1,4,4.99,2022-04-12 01:42:01.166425-06
16192,339,1,876,5.99,2022-04-22 13:26:26.980741-06
16198,345,1,363,0.99,2022-04-13 18:06:20.025074-06
16199,346,1,65,4.99,2022-04-21 14:04:47.370318-06
16205,350,1,802,4.99,2022-04-13 00:10:24.399149-06
16208,353,2,1103,6.99,2022-04-25 11:09:08.130077-06
16218,359,1,284,8.99,2022-04-12 08:03:12.580384-06
16222,360,2,777,4.99,2022-04-16 17:43:01.944984-06
16226,363,1,733,3.99,2022-04-25 13:32:24.73075-06
16228,365,2,120,5.99,2022-04-23 01:16:05.084908-06
16232,367,1,1089,2.99,2022-04-28 22:01:04.358751-06
16241,371,1,26,3.99,2022-04-08 18:01:23.727037-06
16243,371,2,381,4.99,2022-04-10 05:45:31.439201-06
16245,371,1,825,0.99,2022-04-01 13:10:22.170941-06
16254,375,1,412,4.99,2022-04-21 00:54:45.591772-06
16255,375,2,749,4.99,2022-04-20 14:34:24.893572-06
16268,383,1,766,8.99,2022-04-01 07:51:04.362444-06
16270,384,2,279,2.99,2022-04-08 05:04:02.613787-06
16272,384,2,1013,2.99,2022-04-28 03:00:33.322527-06
16281,388,2,411,4.99,2022-04-04 02:07:40.321303-06
16293,394,1,977,2.99,2022-04-19 15:06:46.026301-06
16294,396,2,641,5.99,2022-04-26 02:36:44.984602-06
16306,401,2,811,1.99,2022-04-12 14:19:14.330982-06
16311,405,1,121,2.99,2022-04-12 19:20:51.759149-06
16313,406,1,855,0.99,2022-04-07 05:47:14.962156-06
16314,407,1,619,7.99,2022-04-11 12:17:39.612668-06
16317,408,1,526,2.99,2022-04-10 03:48:14.484483-06
16325,413,1,40,4.99,2022-04-26 14:31:47.261954-06
16334,417,2,630,8.99,2022-04-10 03:34:23.573205-06
16338,421,1,507,0.99,2022-04-05 17:32:45.605467-06
16353,431,2,1126,2.99,2022-04-24 15:02:20.985736-06
16371,439,1,126,2.99,2022-04-26 13:42:27.416374-06
16377,442,2,558,6.99,2022-04-19 10:57:24.80407-06
16382,445,1,481,2.99,2022-04-20 20:12:50.037713-06
16385,446,1,236,0.99,2022-04-22 21:51:39.709105-06
16394,450,2,548,3.99,2022-04-10 16:48:05.364793-06
16400,452,1,726,1.99,2022-04-02 08:59:45.228075-06
16411,461,1,684,6.99,2022-04-26 19:44:55.339362-06
16418,466,2,1104,2.99,2022-04-27 20:48:32.415538-06
16422,468,2,296,6.99,2022-04-11 09:12:47.161975-06
16423,468,2,459,0.99,2022-04-25 02:28:57.95314-06
16424,468,1,673,0.99,2022-04-07 09:25:39.357037-06
16429,469,1,1119,2.99,2022-04-05 21:49:52.277584-06
16430,470,2,60,2.99,2022-04-08 22:52:12.901836-06
16436,473,1,348,4.99,2022-04-12 22:33:02.668653-06
16437,473,2,942,2.99,2022-04-12 04:46:32.454888-06
16440,475,2,417,4.99,2022-04-06 08:39:47.967625-06
16445,479,2,132,3.99,2022-04-18 01:23:29.250426-06
16450,481,2,1109,5.99,2022-04-07 15:16:49.008957-06
16452,482,2,680,2.99,2022-04-08 13:56:56.106453-06
16464,490,2,585,6.99,2022-04-08 23:10:23.932248-06
