payment_id,customer_id,staff_id,rental_id,amount,payment_date
16055,269,2,1099,2.99,2022-05-20 09:54:02.174545-06
16057,270,1,1040,4.99,2022-05-11 03:27:17.752545-06
16067,274,2,301,2.99,2022-05-10 21:38:43.477404-06
16068,274,1,394,5.99,2022-05-04 01:27:05.030262-06
16070,274,1,892,4.99,2022-05-14 23:32:14.136295-06
16079,281,2,650,2.99,2022-05-20 19:41:55.279066-06
16083,282,2,564,0.99,2022-05-14 05:24:41.513452-06
16084,284,2,423,0.99,2022-05-28 09:14:23.196325-06
16085,284,2,791,0.99,2022-05-15 07:50:04.749639-06
16086,284,1,1145,6.99,2022-05-21 19:07:51.171344-06
16093,288,1,503,4.99,2022-05-05 23:18:49.065148-06
16096,291,1,54,4.99,2022-05-25 19:34:44.655616-06
16099,292,1,324,0.99,2022-05-26 10:31:55.427737-06
16101,293,1,924,4.99,2022-05-20 00:57:45.099138-06
16125,304,1,135,10.99,2022-05-03 07:58:33.135578-06
16128,305,2,69,2.99,2022-05-29 10:24:31.327433-06
16135,308,2,589,3.99,2022-05-11 15:29:38.878145-06
16147,312,2,1079,6.99,2022-05-21 19:00:19.263516-06
16150,313,2,781,0.99,2022-05-03 19:07:45.109719-06
16151,313,2,843,0.99,2022-05-18 08:33:46.571296-06
16152,314,1,80,5.99,2022-05-12 21:02:58.918221-06
16153,314,1,440,4.99,2022-05-21 02:48:19.060217-06
16159,317,1,107,6.99,2022-05-14 02:05:26.104632-06
16161,319,1,15,9.99,2022-05-11 18:44:28.347268-06
16163,319,1,439,2.99,2022-05-02 06:41:56.413228-06
16168,322,1,269,4.99,2022-05-31 09:29:32.757941-06
16178,328,2,862,2.99,2022-05-03 06:08:12.559622-06
16181,331,2,87,0.99,2022-05-13 07:03:20.004638-06
16188,337,1,374,6.99,2022-05-12 13:01:36.968613-06
16190,337,1,839,8.99,2022-05-07 06:03:00.213083-06
16203,349,1,890,4.99,2022-05-06 16:53:38.937614-06
16214,357,1,144,2.99,2022-05-08 10:08:34.473398-06
16215,357,1,824,4.99,2022-05-01 20:08:21.09586-06
16220,359,1,528,3.99,2022-05-22 06:21:52.683222-06
16223,361,1,368,5.99,2022-05-24 21:12:05.03503-06
16233,368,1,64,5.99,2022-05-23 02:09:07.835173-06
16234,368,1,125,5.99,2022-05-04 17:07:26.176453-06
16238,369,1,294,4.99,2022-05-29 16:08:28.607941-06
16240,369,2,913,7.99,2022-05-29 13:30:33.216595-06
16256,375,1,873,2.99,2022-05-20 06:38:16.142858-06
16265,382,2,356,2.99,2022-05-15 20:31:42.02688-06
16266,382,1,522,2.99,2022-05-14 15:52:42.545021-06
16269,384,2,103,4.99,2022-05-11 16:18:32.178976-06
16271,384,1,898,0.99,2022-05-12 14:44:46.982457-06
