payment_id,customer_id,staff_id,rental_id,amount,payment_date
16050,269,2,7,1.99,2022-06-21 01:41:50.707316-06
16052,269,2,678,6.99,2022-06-26 16:37:21.783785-06
16054,269,1,750,4.99,2022-06-01 21:29:53.30199-06
16062,272,1,1072,0.99,2022-06-14 19:19:29.001208-06
16073,276,1,860,10.99,2022-06-03 14:10:31.235993-06
16082,282,2,282,6.99,2022-06-16 16:40:15.876421-06
16087,286,2,81,6.99,2022-06-13 05:45:57.632947-06
16088,287,2,498,0.99,2022-06-01 17:42:21.196221-06
16090,287,2,964,2.99,2022-06-24 12:34:14.628273-06
16098,291,1,1012,2.99,2022-06-13 15:32:26.747244-06
16104,295,2,371,3.99,2022-06-13 09:43:37.699961-06
16113,299,2,606,8.99,2022-06-13 20:54:29.039214-06
16117,301,2,27,4.99,2022-06-28 04:16:51.20069-06
16138,310,2,104,0.99,2022-06-10 03:12:24.278218-06
16142,311,2,990,3.99,2022-06-21 11:04:00.273053-06
16145,312,1,530,0.99,2022-06-07 13:11:28.999449-06
16146,312,2,1049,4.99,2022-06-18 13:51:24.241656-06
16149,313,2,712,2.99,2022-06-30 01:21:07.717505-06
16157,316,1,644,8.99,2022-06-17 22:23:31.52441-06
16172,324,2,563,3.99,2022-06-02 04:52:17.163439-06
16182,331,1,996,2.99,2022-06-15 23:01:36.90073-06
16186,334,1,13,6.99,2022-06-29 19:08:55.600669-06
16191,338,1,675,0.99,2022-06-04 23:24:39.352555-06
16207,352,1,784,2.99,2022-06-07 04:31:57.354435-06
16209,354,1,140,0.99,2022-06-27 20:50:36.562604-06
16210,354,2,158,1.99,2022-06-13 21:37:58.864546-06
16217,358,2,858,4.99,2022-06-12 09:48:35.899397-06
16221,360,1,633,0.99,2022-06-15 18:10:27.611602-06
16224,361,2,1120,4.99,2022-06-03 13:05:28.580978-06
16227,364,1,462,5.99,2022-06-24 03:52:40.090107-06
16229,365,1,231,4.99,2022-06-10 23:30:03.650325-06
16236,368,1,949,2.99,2022-06-09 09:57:05.885284-06
16242,371,2,286,6.99,2022-06-14 17:18:57.677649-06
16248,372,1,638,2.99,2022-06-18 12:56:37.304781-06
16262,381,2,169,0.99,2022-06-19 09:17:22.28249-06
16274,385,2,1038,4.99,2022-06-30 10:57:11.076254-06
16278,387,1,841,4.99,2022-06-14 20:41:07.979506-06
16284,390,2,912,4.99,2022-06-29 10:04:29.264495-06
16286,391,1,210,2.99,2022-06-24 05:49:45.081426-06
16303,400,2,894,5.99,2022-06-04 17:40:09.214994-06
16304,401,2,167,4.99,2022-06-05 23:29:13.927452-06
16305,401,2,446,4.99,2022-06-10 23:12:07.124432-06
16307,402,2,801,1.99,2022-06-23 09:50:05.892201-06
16323,412,1,717,0.99,2022-06-20 21:57:26.721275-06
16327,414,1,85,4.99,2022-06-12 06:28:36.868379-06
16328,414,1,261,3.99,2022-06-21 15:13:12.710408-06
16332,416,2,1031,2.99,2022-06-18 10:45:07.144592-06
16335,417,2,833,4.99,2022-06-01 23:46:34.443085-06
16346,429,2,150,5.99,2022-06-30 15:25:27.619991-06
16366,437,2,656,4.99,2022-06-04 10:47:00.615786-06
16368,438,2,23,4.99,2022-06-04 19:56:19.906541-06
16381,444,1,557,0.99,2022-06-27 19:33:00.739587-06
16384,446,2,14,0.99,2022-06-28 04:24:21.720418-06
