payment_id,customer_id,staff_id,rental_id,amount,payment_date
16056,270,1,193,1.99,2022-02-02 19:49:30.663659-06
16075,278,1,1092,4.99,2022-02-14 10:08:09.981165-06
16077,279,2,1019,0.99,2022-02-09 15:43:26.740315-06
16078,280,1,1014,4.99,2022-02-05 18:01:36.023609-06
16103,294,1,595,1.99,2022-02-01 23:00:37.57789-06
16107,296,1,869,4.99,2022-02-07 07:43:52.208634-06
16122,303,1,265,0.99,2022-02-20 11:52:56.731619-06
16129,306,2,375,3.99,2022-02-10 20:36:17.845334-06
16130,306,2,672,6.99,2022-02-09 15:22:58.885179-06
16131,307,2,413,4.99,2022-02-27 15:03:23.082646-06
16133,307,1,614,1.99,2022-02-23 08:07:39.213376-06
16154,315,1,537,8.99,2022-02-21 00:42:18.733228-06
16164,321,2,200,4.99,2022-02-14 11:26:09.023532-06
16167,322,2,166,0.99,2022-02-20 00:34:26.22591-06
16173,325,1,131,5.99,2022-02-08 04:29:05.367166-06
16180,330,2,967,7.99,2022-02-09 08:41:36.737746-06
16184,332,1,1000,6.99,2022-01-31 19:45:54.586456-06
16189,337,1,572,4.99,2022-02-22 23:11:54.387724-06
16196,344,2,813,5.99,2022-02-01 20:20:47.90095-06
16197,345,1,206,0.99,2022-02-13 23:25:00.270052-06
16213,356,2,1088,4.99,2022-02-15 08:01:58.817322-06
16225,362,2,1035,4.99,2022-02-02 05:08:26.413593-06
16244,371,1,384,5.99,2022-02-27 23:52:58.002006-06
16246,371,1,829,2.99,2022-02-26 19:51:01.15992-06
16251,374,2,910,2.99,2022-02-11 14:39:27.589401-06
16257,376,1,554,0.99,2022-02-04 16:48:23.861476-06
16258,378,1,347,0.99,2022-02-19 00:24:02.78365-06
16261,380,1,847,3.99,2022-02-21 16:19:33.491752-06
16267,383,2,63,0.99,2022-02-18 06:35:34.656209-06
16273,385,1,917,2.99,2022-02-27 23:37:51.844587-06
16275,386,1,583,7.99,2022-02-14 14:32:24.785096-06
16277,387,1,697,7.99,2022-02-10 17:33:12.863001-06
16280,388,2,21,4.99,2022-02-16 18:25:20.23109-06
16287,391,1,317,5.99,2022-01-31 22:52:01.826482-06
16291,393,2,886,0.99,2022-02-26 06:17:02.772332-06
16299,399,2,883,4.99,2022-02-10 23:41:52.93807-06
16312,405,2,770,4.99,2022-02-04 12:44:50.15319-06
16324,412,2,1043,3.99,2022-02-03 17:00:03.697719-06
16337,420,2,744,4.99,2022-02-15 22:55:58.316361-06
16343,426,2,604,0.99,2022-02-23 03:01:45.440786-06
16347,429,2,290,2.99,2022-02-11 06:31:33.966222-06
16350,429,2,844,4.99,2022-02-24 13:25:19.71155-06
16352,430,1,364,4.99,2022-02-02 17:14:15.58862-06
16356,432,1,897,8.99,2022-02-25 14:12:34.901786-06
16358,433,1,691,10.99,2022-02-22 06:56:36.816232-06
16379,443,2,1068,4.99,2022-02-10 14:15:16.512303-06
16380,444,1,201,8.99,2022-02-02 06:28:11.734463-06
16386,446,1,355,4.99,2022-02-25 06:21:40.859112-06
16396,451,2,328,2.99,2022-02-21 20:31:45.142927-06
16397,451,2,1113,2.99,2022-02-24 11:52:45.886487-06
16403,455,2,343,0.99,2022-02-07 13:31:51.363246-06
16406,459,2,2,2.99,2022-02-21 11:38:11.389365-06
16414,463,1,560,1.99,2022-02-01 16:37:54.336913-06
16419,467,2,225,4.99,2022-02-21 03:27:15.202636-06
16431,471,1,616,2.99,2022-02-15 01:15:03.081894-06
16444,477,1,882,2.99,2022-02-07 22:42:18.104934-06
16446,479,1,709,7.99,2022-02-12 21:37:17.14323-06
16460,486,2,946,2.99,2022-02-16 18:47:36.343249-06
16461,486,2,1129,0.99,2022-02-22 10:36:22.316244-06
16465,490,2,676,4.99,2022-02-19 08:00:18.914871-06
16470,494,1,608,4.99,2022-02-19 14:04:22.751108-06
16472,495,2,741,4.99,2022-02-25 22:42:42.604235-06
16479,499,2,89,2.99,2022-02-17 11:52:33.004863-06
16485,502,2,258,2.99,2022-02-08 10:16:46.013726-06
